iter	Passed	Remaining
0	162	162119
1	166	83271
2	171	56974
3	175	43796
4	180	35963
5	185	30806
6	189	26949
7	193	23934
8	195	21535
9	197	19563
10	199	17972
11	201	16612
12	203	15445
13	205	14443
14	206	13579
15	208	12802
16	209	12120
17	211	11514
18	212	10971
19	213	10479
20	215	10030
21	216	9617
22	217	9234
23	218	8883
24	219	8557
25	220	8258
26	221	7977
27	222	7727
28	223	7489
29	224	7268
30	225	7057
31	226	6854
32	227	6665
33	228	6485
34	229	6318
35	230	6160
36	231	6015
37	232	5874
38	232	5738
39	233	5609
40	234	5490
41	235	5376
42	236	5272
43	237	5167
44	238	5063
45	239	4966
46	240	4871
47	241	4780
48	241	4693
49	242	4609
50	243	4529
51	244	4452
52	245	4379
53	245	4308
54	246	4238
55	247	4172
56	248	4107
57	249	4047
58	250	3989
59	251	3937
60	252	3881
61	252	3826
62	253	3774
63	254	3723
64	255	3673
65	256	3626
66	256	3578
67	257	3527
68	258	3484
69	259	3441
70	259	3400
71	260	3359
72	261	3319
73	262	3282
74	263	3246
75	264	3211
76	265	3178
77	266	3147
78	267	3113
79	267	3080
80	268	3048
81	269	3016
82	270	2985
83	271	2955
84	271	2923
85	272	2894
86	272	2863
87	273	2835
88	274	2810
89	275	2784
90	276	2759
91	276	2733
92	277	2710
93	279	2689
94	280	2667
95	281	2648
96	282	2626
97	282	2604
98	283	2583
99	284	2562
100	285	2542
101	286	2519
102	287	2499
103	287	2479
104	288	2460
105	289	2441
106	290	2422
107	291	2404
108	291	2386
109	292	2370
110	293	2353
111	294	2337
112	295	2322
113	296	2306
114	297	2289
115	298	2272
116	298	2256
117	299	2240
118	300	2223
119	301	2208
120	302	2194
121	302	2179
122	303	2162
123	304	2148
124	304	2134
125	305	2120
126	306	2106
127	307	2091
128	307	2078
129	308	2067
130	310	2056
131	310	2044
132	311	2032
133	312	2020
134	313	2009
135	314	1997
136	315	1985
137	315	1973
138	316	1962
139	317	1950
140	318	1940
141	319	1929
142	320	1918
143	321	1908
144	322	1899
145	323	1889
146	323	1879
147	325	1871
148	325	1861
149	326	1851
150	327	1842
151	328	1832
152	329	1822
153	330	1812
154	330	1803
155	331	1794
156	332	1784
157	333	1775
158	333	1766
159	334	1757
160	335	1748
161	336	1739
162	337	1732
163	338	1725
164	339	1718
165	340	1710
166	341	1702
167	341	1693
168	342	1685
169	343	1677
170	344	1669
171	345	1661
172	345	1653
173	346	1645
174	347	1638
175	348	1630
176	349	1623
